=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 17:01:49 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_L
1349, 0, 0, 
1351, 0, 1, 
1353, 4, 0, 
1355, 0, 0, 
1357, 1, 0, 
1359, 36, 1, 
1361, 0, 1, 
1363, 1, 0, 
1366, 0, 0, 
1368, 1, 1, 
1370, 256, 9, 
1372, 0, 4, 
1374, 196, 4, 
1376, 0, 1, 
1378, 9, 4, 
1380, 0, 0, 
1382, 25, 4, 
1385, 25, 1, 
1387, 0, 0, 
1389, 1, 4, 
1391, 36, 1, 
1393, 121, 0, 
1395, 4, 4, 
1397, 121, 4, 
1399, 4, 1, 
1401, 16, 0, 
1403, 1, 4, 
1405, 1, 1, 
1408, 4, 0, 
1410, 1, 0, 
1412, 1, 1, 
1414, 1, 0, 
1416, 1, 0, 
1418, 0, 0, 
1420, 1, 0, 
1422, 1, 0, 
1424, 1, 0, 
1426, 4, 0, 
1428, 4, 0, 
1430, 1, 0, 
1432, 1, 0, 
1434, 1, 0, 
1436, 9, 1, 
1438, 4, 0, 
1440, 9, 0, 
1442, 1, 0, 
1444, 16, 0, 
1446, 36, 1, 
1448, 1, 0, 
1451, 4, 0, 
1453, 4, 0, 
1455, 0, 0, 
1457, 4, 0, 
1459, 36, 0, 
1461, 1, 1, 
1463, 0, 1, 
1466, 1, 0, 
1468, 0, 0, 
1470, 100, 0, 
1472, 16, 4, 
1474, 324, 4, 
1476, 25, 9, 
1478, 81, 1, 
1480, 4, 1, 
1482, 9, 0, 
1484, 9, 1, 
1486, 4, 1, 
1488, 9, 0, 
1490, 1, 0, 
1492, 4, 1, 
1495, 4, 0, 
1497, 1, 1, 
1499, 16, 0, 
1501, 9, 1, 
1503, 1, 0, 
1505, 0, 0, 
1507, 9, 1, 
1509, 1, 1, 
1511, 16, 0, 
1513, 1, 0, 
1515, 9, 0, 
1517, 4, 0, 
1519, 4, 0, 
1521, 16, 0, 
1523, 4, 1, 
1525, 1, 0, 
1527, 9, 1, 
1529, 1, 1, 
1531, 1, 0, 
1533, 9, 1, 
1536, 36, 0, 
1538, 36, 0, 
1540, 36, 0, 
1542, 81, 9, 
1544, 16, 4, 
1546, 36, 0, 
1548, 9, 1, 
1551, 9, 0, 
1553, 1, 1, 
1555, 1, 4, 
1557, 9, 0, 
1559, 25, 0, 
1561, 0, 0, 
1563, 0, 0, 
1565, 0, 1, 
1567, 64, 0, 
1569, 1, 4, 
1571, 0, 0, 
1573, 1, 1, 
1575, 4, 9, 
1577, 36, 0, 
1580, 16, 0, 
1582, 0, 0, 
1584, 4, 4, 
1586, 0, 0, 
1588, 25, 0, 
1590, 4, 1, 
1592, 169, 0, 
1594, 9, 0, 
1596, 144, 1, 
1598, 0, 4, 
1600, 16, 1, 
1602, 1, 4, 
1604, 1, 0, 
1606, 25, 0, 
1608, 16, 1, 
1610, 64, 0, 
1612, 4, 1, 
1614, 196, 0, 
1616, 1, 4, 
1618, 1, 0, 
1620, 169, 1, 
1623, 9, 1, 
1625, 64, 0, 
1627, 9, 0, 
1629, 0, 1, 
1631, 289, 0, 
1634, 49, 16, 
1636, 121, 0, 
1638, 4, 9, 
1640, 1, 4, 
1642, 64, 0, 
1644, 36, 0, 
1646, 64, 0, 
1648, 4, 4, 
1650, 9, 0, 
1652, 4, 0, 
1654, 0, 1, 
1656, 49, 0, 
1658, 25, 0, 
1660, 1, 4, 
1662, 16, 1, 
1665, 9, 0, 
1667, 25, 0, 
1669, 49, 0, 
1671, 49, 0, 
1673, 9, 0, 
1675, 25, 1, 
1677, 25, 0, 
1679, 49, 0, 
1681, 16, 4, 
1683, 64, 4, 
1685, 0, 4, 
1687, 25, 4, 
1689, 100, 0, 
1691, 36, 0, 
1693, 36, 4, 
1695, 49, 0, 
1697, 64, 0, 
1699, 36, 4, 
1701, 16, 4, 
1703, 25, 1, 
1705, 25, 9, 
1708, 169, 0, 
1710, 9, 1, 
1712, 25, 4, 
1714, 9, 0, 
1716, 64, 0, 
1718, 225, 0, 
1720, 225, 9, 
1722, 1, 16, 
1724, 81, 0, 
1727, 196, 4, 
1729, 100, 16, 
