=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 16:52:51 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_R
0,  0, 
1483, 4, 0, 
1485, 9, 1, 
1487, 36, 4, 
1489, 4, 1, 
1491, 0, 0, 
1494, 0, 0, 
1496, 0, 0, 
1498, 0, 0, 
1500, 0, 0, 
1502, 1, 0, 
1504, 4, 0, 
1506, 4, 0, 
1508, 25, 1, 
1510, 4, 1, 
1512, 9, 0, 
1514, 25, 0, 
1516, 16, 0, 
1518, 4, 1, 
1520, 0, 1, 
1522, 169, 0, 
1524, 256, 25, 
1526, 576, 16, 
1528, 2304, 64, 
1530, 121, 49, 
1532, 5476, 81, 
1534, 841, 225, 
1537, 5041, 81, 
1539, 169, 144, 
1541, 625, 169, 
1543, 36, 0, 
1545, 25, 64, 
1547, 100, 49, 
1549, 49, 0, 
1551, 4, 49, 
1553, 25, 4, 
1555, 0, 9, 
1557, 25, 16, 
1559, 1, 1, 
1561, 9, 16, 
1563, 16, 4, 
1566, 0, 4, 
1568, 4, 9, 
1570, 1, 0, 
1572, 1, 1, 
1574, 4, 1, 
1576, 0, 1, 
1579, 1, 1, 
1581, 0, 0, 
1583, 0, 9, 
1585, 1, 0, 
1587, 1, 0, 
1589, 1, 1, 
1591, 0, 0, 
1593, 0, 0, 
1595, 0, 0, 
1597, 0, 0, 
1599, 0, 0, 
1601, 1, 0, 
1603, 16, 1, 
1605, 25, 1, 
1607, 9, 0, 
1609, 81, 4, 
1611, 36, 4, 
1613, 81, 4, 
1615, 9, 1, 
1617, 1, 0, 
1619, 9, 4, 
1622, 1, 0, 
1624, 1156, 25, 
1626, 3481, 100, 
1628, 400, 25, 
1630, 900, 144, 
1632, 1444, 4, 
1634, 25, 100, 
1636, 16, 100, 
1638, 1, 1, 
1640, 49, 36, 
1642, 49, 64, 
1644, 16, 1, 
1646, 4, 16, 
1648, 25, 4, 
1650, 1, 4, 
1652, 4, 9, 
1654, 1, 4, 
1656, 9, 4, 
1659, 4, 4, 
1661, 0, 4, 
1664, 9, 1, 
1666, 0, 0, 
1668, 1, 4, 
1670, 0, 0, 
1672, 0, 4, 
1674, 0, 0, 
1676, 1, 0, 
1678, 0, 0, 
1680, 1, 16, 
1682, 0, 9, 
1684, 0, 0, 
1686, 0, 0, 
1688, 9, 0, 
1690, 0, 0, 
1692, 9, 1, 
1694, 0, 0, 
1696, 36, 0, 
1698, 1, 4, 
1700, 64, 1, 
1702, 49, 0, 
1704, 9, 4, 
1707, 64, 1, 
1709, 16, 1, 
1711, 1, 9, 
1713, 0, 0, 
1715, 0, 1, 
1717, 36, 4, 
1719, 4, 4, 
1721, 576, 9, 
1723, 36, 9, 
1725, 169, 25, 
1727, 144, 4, 
1729, 196, 25, 
1731, 4, 81, 
